"from_institution_id","to_institution_id","work_count","period","status","source"
"I204250578","I84218800","24","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI84218800%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I103635307","23","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I122411786","23","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI122411786%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I103635307","22","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I1306409833","21","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I154570441","19","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I122411786","19","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI122411786%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I1306409833","18","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I103635307","18","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I154570441","16","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I185103710","16","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I1306409833","15","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I185103710","15","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I185103710","14","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I84218800","13","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI84218800%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I4210114444","12","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I103635307","12","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I84218800","12","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI84218800%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I185103710","12","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I1306409833","11","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I1282311441","11","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I4210114444","10","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I4210114444","10","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I185103710","10","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I103635307","10","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I103635307","9","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I185103710","9","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I1282311441","8","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I4210095624","8","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I4210095624","7","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I103635307","7","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I1306409833","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I1282311441","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I4210114444","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I204250578","I185103710","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI204250578%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I1282311441","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I103635307","I1282311441","6","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI103635307%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I1282311441","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I4210095624","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I1282311441","5","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI1282311441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
